Title,Company,Location,Type,Level,YearsExp,Country,Skills
Receptionist,Value, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Office Management, Admin, Administration"
Stores Supervisor/Inventory Controller,Confidential, Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, Inventory Control, Purchasing, Logistics/Supply Chain, Purchasing/Procurement"
Receptionist,Pinnacle Real Estate Investments and Development Management, Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Administration, Office Management, Receptionist, English, Microsoft Office, Computer Skills, Communication, Administration"
Translator,Longman Egypt, Dokki,Full Time,Experienced,7-15 Yrs of Exp,Giza,"Translation, Editing, Education, English, Arabic, Publishing, Translators, Languages, Microsoft Office, Writing"
Corporate Lawyer,Bayt El Khebra, Maadi,Full Time,Experienced,15+ Yrs of Exp,Cairo,"lawyer, Corporate Low, Legal, Legal"
Senior Account Manager,MWG, Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Sales Skills, Customer Service, Customer Support, Sales Target, Account Management, Customer Service/Support"
Design Mechanical Engineer,Orientals for Urban Development, 10th of Ramadan City,Full Time,Experienced,5-7 Yrs of Exp,Sharqia,"CAD, SolidWorks, Mechanical Design, Creative/Design/Art, Engineering - Mechanical/Electrical"
Sr. JavaScript Developer,Longman Egypt, Alexandria,Full Time,Experienced,5-10 Yrs of Exp,Egypt,"Information Technology (IT), Computer Science, javaScript, Software Development, CSS, HTML, React, Git, AWS, UX, UI, RESTful"
Industrial Engineer,Longman Egypt, 6th of October,Full Time,Experienced,5-7 Yrs of Exp,Giza,"Industrial Engineering, Production, Skills, Mechanical Engineering, Manufacturing, Equipment, Improvement, Manufacturing/Production"
Recruitment Specialist,SYE English Community, Dokki,Full Time,Experienced,3+ Yrs of Exp,Giza,"Human Resources (HR), Personnel, Interviews, Selecting, Mass Hiring, Microsoft Office, Training, English, Education, Human Resources"
Senior JavaScript Developer,Longman Egypt, Giza,Full Time,Experienced,5-10 Yrs of Exp,Giza,"Computer Science, Information Technology (IT), javaScript, Software Development, CSS, HTML, Git, React, UI, UX, AWS, RESTful"
Senior Test Automation Engineer,Zealous Solutions Ltd., Cairo,Full Time,Work From Home,4+ Yrs of Exp,Egypt,"Software Testing, Automation Testing, Information Technology (IT), QA, Agile, Selenium, javaScript, Software Development, Cloud"
FMC Manager - Retail Business up to 40 Branches...,Raneen, Giza,Full Time,Manager,15-20 Yrs of Exp,Giza,"Management, FMC, Sales Skills, Operations, Logistics/Supply Chain, Operations/Management, Sales/Retail"
Business development Executive Architect,MHK Architects, New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Business Development, Architecture, Engineering, Presentation Skills, Negotiation, Engineering - Construction/Civil/Architecture"
Graphic Designer,BLU Real Estate, Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Adobe Photoshop, Adobe Illustrator, Editing, Software, Creative/Design/Art"
Office Manager,Ebers, Alexandria,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Administration, HR, Administration, Human Resources, Legal"
Customer Service Agent (Onshore Account),Atheel CC, Maadi,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"Males Only, Customer Service, Customer Support, Customer Care, Call Center, Installation, IT, Troubleshooting"
Shot Firer and Blast Crew,Confidential, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Safety, Quality"
Executive Secretary to Chairman - Alexandria,Paradise Inn Hotels & Resorts, Mahta Alraml,Full Time,Experienced,7+ Yrs of Exp,Alexandria,"Microsoft Office, Office Management, Admin Assistant, Business Administration, Accounting, ERP, Back Office, Hotel, MS Office"
Art Director,OVEQ, Glim,Full Time,Experienced,3-6 Yrs of Exp,Alexandria,"Adobe Illustrator, Creative, Art Director, Visual Design, After Effects, 3D, Graphic Design, Creative/Design/Art"
Preschool English Teacher - New Cairo,Trillium Preschool, New Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Education, Teaching, Preschool, English, Education/Teaching"
Maintenance Engineer,Confidential, Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Electrical, Machine Maintenance, Education, Training, Printing Machine, Installation/Maintenance/Repair"
Call Center Agent,Air Gate, Mohandessin,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Customer Service, Call Center, Customer Care, Customer Support, Customer Service/Support"
Software Technical Lead,SmartTech Systems, Nasr City,Full Time,Manager,6-8 Yrs of Exp,Cairo,"Computer Science, Information Technology (IT), .NET, C#, SQL, javaScript, AJAX, jQuery, HTML, Web APIs, Angular +2"
Senior Maintenance Engineer,Confidential, Cairo,Full Time,Experienced,10+ Yrs of Exp,Egypt,"Engineering, Mechanical, Printing, Electrical, Health, Safety, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
In-House Graphic Designer,Kabbany Construction Group, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Graphic Design, Adobe Illustrator, Adobe Photoshop, Branding, Adobe Indesign, Marketing, Adobe After effects, Infographic Animations"
Outdoor Sales Representative,Confidential, 10th of Ramadan City,Full Time,Experienced,1-5 Yrs of Exp,Cairo,"Sales Skills, Outdoor Sales, Sales Target, Communication Skills, Corporate Sales, Presentation Skills, Selling Skills, Sales/Retail"
Marketing Specialist,Sparks preschool, New Cairo,Full Time,Part Time,2+ Yrs of Exp,Cairo,"Social Media, E-marketing, English, Photoshop, Marketing/PR/Advertising, Media/Journalism/Publishing"
Project Coordinator,Sumerge, Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"IT Project Management, Project Planning, Communication Skills, Software, English, Project Coordination, Administration"
فنى صيانة ميكانيكا,EL SHIDEED, Obour City,Full Time,Experienced,4-10 Yrs of Exp,Cairo,"فنيين, صيانة, ميكانيكة, Manufacturing/Production"
3D Design Events Wedding,Confidential, Doha,Full Time,Experienced,2-7 Yrs of Exp,Qatar,"3D Max, Photoshop, AutoCAD, Creative/Design/Art"
Software Project Manager,Skep Home, Heliopolis,Full Time,Manager,5-7 Yrs of Exp,Cairo,"Project Management, HTML, Software Testing, Java, English, Computer Science, Software Development, AWS, MySQL, XCode"
Upholsterer,Gulf Colours, Doha,Full Time,Experienced,2-7 Yrs of Exp,Qatar,"Excellent design skills, upholstery, Other"
Sales Executive - Damietta,Hamza Group, Damietta,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Sales Skills, Sales Target, English, Negotiation, Sales/Retail"
Sales Engineer - Cairo,Hamza Group, Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"HVAC, Mechanical Engineering, Construction, Sales Skills, Sales Target, Electro Mechanical, Sales/Retail"
Mining Engineer,Confidential, Cairo,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Construction, Civil Engineering, Surpac, Engineering - Construction/Civil/Architecture, Engineering - Other"
Labs Supervisor - San3a Tech (Alexandria),Cultiv, Bourj Alarab,Full Time,Experienced,2-3 Yrs of Exp,Alexandria,"Electronics, Management, Lab, Operations/Management, Engineering - Mechanical/Electrical"
Sales Trainer (Tanta),OPPO Egypt, Tanta,Full Time,Entry Level,1-3 Yrs of Exp,Gharbia,"Communication Skills, Sales Training, Sales Skills, Sales Target, Presentation Skills, Instructor, Sales/Retail, Training/Instructor"
Sales Supervisor - Tanta,OPPO Egypt, Tanta,Full Time,Entry Level,1-2 Yrs of Exp,Gharbia,"Sales Skills, Sales Target, Sales Manager, Sales Supervisor, Communication Skills, Smart Phones, English, Customer Service/Support"
Co teacher Chemistry Secondary stage and High...,Kanayati Chemistry, Cairo,Internship,Entry Level,null Yrs of Exp,Egypt,"students, internships, co teacher, online teacher assistant, Education/Teaching"
Furniture and Product Designer,Metal & Steel Innovation, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Rhinoceros, Autocad, Developing Design, Steel, 3ds Max, Adobe Illustrator, Adobe Indesign, Sketching, Interior Design, Applied Arts"
Labs Supervisor - San3a Tech (Assiut),Cultiv, New Assuit,Full Time,Experienced,2-3 Yrs of Exp,Assiut,"Electronics, Lab, Purchasing, Installation, Operations/Management, Engineering - Mechanical/Electrical"
Co teacher Chemistry Secondary stage and High...,Confidential, Cairo,Work From Home,Entry Level,null Yrs of Exp,Egypt,"students, internships, co teacher, online teacher assistant, Education/Teaching"
"Research Intern, PhD, 2021",Google, Cairo,Internship,Entry Level,null Yrs of Exp,Egypt,"development, problem, solving, R&D/Science, Analyst/Research"
Production Engineer,Mintra - Misr for Industry and Trade, Nasr City,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"English, Microsoft Office, Mechanical Engineering, Production Engineering, Manufacturing/Production, Engineering - Mechanical/Electrical"
Medical Representative - Giza,Macro Group, Giza,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Pharmacy, Science, Sales Skills, Vet, Medical Sales, Medical/Healthcare, Sales/Retail, Pharmaceutical"
Customer Service Representative,Electronic House, Downtown,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Customer Care, Customer Support, Sales, Communication, Computer, Customer Service/Support, Marketing/PR/Advertising, Sales/Retail"
Supply Chain Specialist,kazary, Obour City,Full Time,Experienced,1-5 Yrs of Exp,Cairo,"Logistics, Retail, menswear, Logistics/Supply Chain, Project/Program Management, Sales/Retail"
Documents Management System Project Manager,Mantrac, 10th of Ramadan City,Full Time,Manager,6-8 Yrs of Exp,Cairo,"Microsoft Office, Computer Science, Computer Engineering, Networking, Project Management, DMS Project Manager, English"
IT Help Desk Specialist,Confidential, Cairo,Full Time,Entry Level,0-1 Yrs of Exp,Egypt,"Help Desk, IT, IT/Software Development"
"Research Intern, MSc, 2021",Google, Cairo,Internship,Entry Level,null Yrs of Exp,Egypt,"development, problem, solving, language, · R&D/Science, Analyst/Research"
Curriculum Developer,Almotahida Education, Cairo,Full Time,Work From Home,2+ Yrs of Exp,Egypt,"Curriculum Development, Education, Teaching, SME, Science, Biology, Chemistry, Engineering, Physics, Teacher, Writing"
Accountant,Unimix Egypt for Readymix concrete, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Computer Skills, English, Communication, Accounting, SAP, Finance, Financial Analysis, Financial Management, Accounting/Finance"
Marketing Operation Manager,Confidential, Maadi,Full Time,Manager,4-6 Yrs of Exp,Cairo,"Strategy, Market Research, Pharmacy, Pharmaceutical, Physician, Physics, Medical, Social Media, relationship, Negotiation"
Psychologist,Mishkat Nour, Sohag,Full Time,Entry Level,1-4 Yrs of Exp,Egypt,"أخصائي نفسي, اخصائي نفسي, Medical/Healthcare, Other"
Real Estate Sales Specialist - Hassan Allam,Beit Network For Real Estate, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Sales/Retail"
Real Estate Sales Specialist - Emaar,Beit Network For Real Estate, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Sales/Retail"
Sales Representative,ABS, New Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Customer Service, Customer Service/Support, Sales/Retail"
Sociologist,Mishkat Nour, Sohag,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"اخصائي اجتماعي, Medical/Healthcare, Other"
Real Estate Sales Specialist - Palm Hills,Beit Network For Real Estate, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Sales/Retail"
IT Network Specialist,Raya Contact Center, 6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Networking, Computer Science, Engineering, ITIL Foundation, Security, CCNP, Communication, English, Installation"
Administrator Assistant,ABS, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Office Management, Secretary, Microsoft Office, Administration"
Sales Team Leader - Real Estate,Makanak, New Cairo,Full Time,Manager,5-8 Yrs of Exp,Cairo,"Females Only, Sales Team Leader, Real Estate, Sales Target, Sales Skills, Communication Skills, Presentation Skills, Management, Training"
E-commerce Manager - Retail & Home Appliances...,Raneen, Giza,Full Time,Manager,5-10 Yrs of Exp,Giza,"Social Media, E-marketing, Communication, Management, Logistics, Web Merchandising, Financial Analysis, Market Research, Sales/Retail"
Sales Supervisor - Beni Suef,OPPO Egypt, Beni Suef,Full Time,Manager,2-6 Yrs of Exp,Egypt,"Supervisor, OPPO, Sales Skills, Sales Target, Customer Service, English, Sales/Retail"
Accounting Manager - Alexandria,Club Shoes, Alexandria,Full Time,Manager,5+ Yrs of Exp,Egypt,"Finance, Accounting Software, Computer Skills, Financial Analysis, Retail, Accounting/Finance"
SEO / SEM Specialist,Semicolon Agency, Cairo,Full Time,Work From Home,2-4 Yrs of Exp,Egypt,"SEM, Digital, Advertising, PPC, Marketing Campaigns, ROI, Social Media, SEO Strategy, Marketing/PR/Advertising"
Pre-Sales Executive / IT Field,Integrated Technology Group, Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Computer Science, Sales Skills, Sales Target, IT Sales, Engineering, Telecom, IT/Software Development, Sales/Retail"
"Software Engineering Intern, PhD, 2021",Google, Cairo,Internship,Entry Level,null Yrs of Exp,Egypt,"Software Engineering, Computer Science, Software Development, C++, Python, Java, Coding, Internship, Programming"
Automation Sales Manager - Cairo,ECCC, Maadi,Full Time,Manager,4+ Yrs of Exp,Cairo,"Customer Service, Communication, Industrial Automation, Sales Management, Sales Skills, Sales Target, Business Development, Sales/Retail"
Logistics Supervisor,wnpro, Cairo,Full Time,Manager,5+ Yrs of Exp,Egypt,"Supply Chain, Warehousing, Operations, Logistics/Supply Chain, Operations/Management"
Senior iOS Developer,Integrated Technology Group, Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Mobile Applications, Information Technology (IT), Computer Science, Software Development, Engineering, Telecom, IT/Software Development"
Business Development & Marketing Specialist -...,wnpro, Giza,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Business Development, Marketing, Sales Skills, Customer Service, Programming, Business Development, Marketing/PR/Advertising"
DevOps Engineer & Technical Lead,Fields for Trading and Industries, Cairo,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Computer Engineering, Information Technology (IT), Software Development, Docker, AWS, Linux, MySQL, Java, MongoDB, Azure"
Junior Logistics Specialist,Acrylicon Egypt for flooring, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Logistics, Supply Chain, Procurement, English, AutoCAD, Logistics/Supply Chain"
Property Consultant,LandMax Real Estate, New Cairo,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Females Only, Sales Skills, Real Estate, Communication, Negotiation, Selling, Sales Target, Business Development, Sales/Retail"
Business Development & Marketing Specialist,wnpro, Giza,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Business Development, Marketing, Sales Skills, Business Development, Marketing/PR/Advertising"
Software Engineering or Site Reliability...,Google, Cairo,Internship,Student,null Yrs of Exp,Egypt,"engineering, google, technologu, java, python, C++, developer, internship, IT/Software Development"
Software Quality Control Engineer,Pefect Presentation, Maadi,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Software Testing, Agile, ISTQB, Computer Science, Information Technology (IT), Scrum, E-commerce, Web Testing, SQL, Quality"
Accounting Manager,wnpro, Mohandessin,Full Time,Manager,5+ Yrs of Exp,Giza,"Finance, Financial Management, Financial Analysis, Accounting/Finance"
Admin Assistant,Acrylicon Egypt for flooring, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Administration, Office Management, Microsoft Office, Secretary, Administration"
Sales Engineer,Acrylicon Egypt for flooring, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Construction, AutoCAD, Microsoft Office, Civil Engineering, Mechanical Engineering, Sales/Retail"
Content Writer,Alba Pharma, Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Social Media, Content Writing, Content Creation, Content Development, Editorial, Advertising, Facebook, Instagram, Youtube"
Maintenance Engineer,Unimix Egypt for Readymix concrete, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Maintenance, Computer Skills, Mechanical Engineering, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Devops Engineer,"Izam, inc.", Mohandessin,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Jenkins, CI/CD, Docker, Nginx, Information Technology (IT), MySQL, Git, Apache, IT/Software Development"
Corporate Lawyer,Confidential, Jeddah,Full Time,Experienced,5-8 Yrs of Exp,Saudi Arabia,"Males Preferred, Corporate Lawyer, Legal, Legal"
Android Team Leader,Integrated Technology Group, Cairo,Full Time,Manager,9-14 Yrs of Exp,Egypt,"Mobile Application, Information Technology (IT), Computer Science, Telecom Engineering, Software Development, IT/Software Development"
Social Media Specialist,Own It, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Social Media, Real Estate, Google Ads, E-marketing, Content Creation, Lead Generation, Marketing/PR/Advertising"
Technical Office Engineer,Unimix Egypt for Readymix concrete, Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Technical Office, Engineering, Computer Skills, Mechanical, SAP, Engineering - Mechanical/Electrical"
Sales Executive,Oakea furniture, New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Target, Furniture Sales, Furniture Design, Customer Service, Arabic, English, Wood, Customer Service/Support, Sales/Retail"
Warehouse Keeping Supervisor,Confidential, Badr City,Full Time,Manager,3+ Yrs of Exp,Cairo,"Logistics, Supply Chain, Warehouse Keepering, Logistics/Supply Chain"
Telesales Representative - (Medical),health tech group, New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Females Preferred, Telesales Representative, Customer Service, Customer Support, Customer Care, Sales Skills, Sales Target, Sales/Retail"
MEP Site Engineer,El-Alameya for Engineering and Project Management, Cairo,Full Time,Experienced,3-8 Yrs of Exp,Egypt,"Design, Construction, Mechanical Engineering, Electrical Engineering, MEP, Engineering - Mechanical/Electrical"
Batch Plant Manager,Unimix Egypt for Readymix concrete, Alexandria,Full Time,Manager,3-5 Yrs of Exp,Egypt,"Concrete, Constructions, Six Sigma, Engineering - Construction/Civil/Architecture"
Graphic Designer,AlQemam For Programming, Mansoura,Full Time,Experienced,2+ Yrs of Exp,Dakahlia,"Graphic Design, Social Media, Advertising, Creative/Design/Art, Marketing/PR/Advertising"
Smart Devices Business Development Specialist,HITS Technologies, Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Customer Service, Computer Science, Sales Skills, Sales Target, English, Computer Skills, Microsoft Office, Sales/Retail"
SharePoint Developer,Mantrac, 10th of Ramadan City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Software Development, ASP.NET, Web Development, javaScript, CSS, AJAX, T-SQL, SharePoint 2016/2013/2010, Html 4"
Finishing & Maintenance Engineer,First Group, Hadayek October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Maintenance, Civil Engineering, Customer Service, Engineering - Construction/Civil/Architecture, Installation/Maintenance/Repair"
Utility Section Head,Cepack, 10th of Ramadan City,Full Time,Manager,2+ Yrs of Exp,Sharqia,"Maintenance, Mechanical Engineering, Technical, English, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Online Sales Specialist,kazary, Obour City,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Online Sales, E-Commerce, Retail, Marketing, English, Sales Skills, Menswear, Customer Service/Support, Sales/Retail, Fashion"
Front-End Developer (IOS & Android),Skep Home, Cairo,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Software Development, Front End, UI/UX, UX, iOS, Android, UI, Computer Science, IT/Software Development"
UI/UX Designer,AlQemam For Programming, Mansoura,Full Time,Experienced,2+ Yrs of Exp,Dakahlia,"UI/UX Design, UI Design, Photoshop, Creative/Design/Art, IT/Software Development"
Odoo ERP Senior Application Manager,Bingo Global, Sheraton,Full Time,Part Time,10-15 Yrs of Exp,Cairo,"ERP, Information Technology (IT), Odoo Modules, Computer Science, Application Manager, IT/Software Development, Project/Program Management"
Science Supervisor,Nahdet Misr Publishing Group, Mohandessin,Full Time,Experienced,10+ Yrs of Exp,Giza,"Teaching, English, Communication Skills, Training, Education, R&D/Science, Education/Teaching"
Sales Representative - World Gym SODIC,Wellness World, 6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Sales Skills, Sales Target, Customer Service, Healthcare, Gym, Sports, Leisure, English, Sales/Retail, Sports and Leisure"
UI Developer,AlQemam For Programming, Mansoura,Full Time,Experienced,2+ Yrs of Exp,Dakahlia,"Information Technology (IT), javaScript, jQuery, HTML, CSS, Angular, Bootstrap, Computer Science, Software Development"
Math Supervisor,Nahdet Misr Publishing Group, Mohandessin,Full Time,Experienced,10+ Yrs of Exp,Giza,"Curriculum, Teaching, Maths, Education, Education/Teaching"
Back End Developer - PHP Laravel,Skep Home, Cairo,Full Time,Entry Level,1-5 Yrs of Exp,Egypt,"Computer Science, Software Development, Software Engineering, HTML, Information Technology (IT), PHP, MySQL, Java, AWS, APIs"
Senior Structure Engineer,AluNile, Mohandessin,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Computer Science, Information Technology (IT), Civil Engineering, Engineering - Construction/Civil/Architecture, Engineering - Telecom/Technology"
Supply Chain Manager,alrowad tannery, Badr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Supply Chain, Purchasing, Logistics, English, Export, Import, Microsoft Office, Computer Skills, Microsoft Excel, Management"
Technical Operations SME & Cloud Expert,Confidential, Cairo,Full Time,Shift Based,6-8 Yrs of Exp,Egypt,"Cloud, Linux, AWS, CCNA, RHCE, IT, Computer Science, Development, Networking, Troubleshooting, IT/Software Development"
Technical Support Engineer,Confidential, Cairo,Full Time,Shift Based,4-6 Yrs of Exp,Egypt,"Linux, Technical Support, CCNA, Information Technology (IT), Computer Science, Networking, Engineering, SS7, GSM, Troubleshoot"
Infection Control Specialist,Baheya Center, Haram,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Infection Control, Healthcare, Medicine, Pharmacy, Dentistry, Medical/Healthcare"
Graphic Designer,Royal Future Light for Publishing, Faisal,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Adobe Photoshop, Adobe Illustrator, InDesign, Communication, Design Software, Technologies, Creative/Design/Art"
Odoo Developer - Cairo,IPC, New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Python, Odoo Modules, Design, APIs, Computer Science, Information Technology (IT), IT/Software Development, Engineering - Telecom/Technology"
Sales Representative - FMCG,Garawany brothers, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Indoor Sales, Outdoor Sales, FMCG, Sales Target, Sales/Retail"
Associate Systems Engineer,Sumerge, Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"DevOps, Gitlab, Jenkins, Docker, Kubernetes, DHCP, DNS, SSL, TCP, UDP, Information Technology (IT), Microsoft Server, Tomcat"
Data Entry Specialist,Homix, Mohandessin,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Administration, Microsoft Office, Typing Skills, Content, Administration, Writing/Editorial"
Graphic Designer,Homix, Mohandessin,Full Time,Experienced,2+ Yrs of Exp,Giza,"Adobe Photoshop, Adobe Illustrator, Communication Skills, Management, Arabic, After Effect, Creative/Design/Art"
Supply Chain Operation Manager,Confidential, Maadi,Full Time,Manager,5-7 Yrs of Exp,Cairo,"Warehousing, Inventory Control, Supply Chain Management, Medical, Pharmacy, Medicine, Material Planning, Suppliers, Doctor, Operations"
Partnerships Executive,Saavee Egypt, New Cairo,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Sales Skills, Business Development, Food Delivery, Presentation Skills, English, Sales/Retail"
